Group,TissueLabel,TissueOrder,sample_status,Pathway,n_samples,n_technical_replicate_columns,min,q1,median,mean,q3,max
Adrenal gland,Adrenal gland,1,Ground,FA,14,1,39,39,39,39,39,39
Adrenal gland,Adrenal gland,1,Ground,HR,14,1,132,133,133.5,133.642857142857,134.75,135
Adrenal gland,Adrenal gland,1,Ground,AEJ,14,1,9,9,9,9,9,9
Adrenal gland,Adrenal gland,1,Ground,NHEJ,14,1,17,17,17,17,17,17
Bone marrow,Bone marrow,2,Flight,BER,6,0,52,53.25,54,53.5,54,54
Bone marrow,Bone marrow,2,Flight,NER,6,0,53,53,53,53,53,53
Bone marrow,Bone marrow,2,Flight,MMR,6,0,27,27,27,27,27,27
Bone marrow,Bone marrow,2,Flight,FA,6,0,39,39,39,39,39,39
Bone marrow,Bone marrow,2,Flight,HR,6,0,133,133.25,134,133.666666666667,134,134
Bone marrow,Bone marrow,2,Flight,AEJ,6,0,9,9,9,9,9,9
Bone marrow,Bone marrow,2,Flight,NHEJ,6,0,17,17,17,17,17,17
Bone marrow,Bone marrow,2,Ground,BER,6,0,53,53.25,54,53.6666666666667,54,54
Bone marrow,Bone marrow,2,Ground,NER,6,0,53,53,53,53,53,53
Bone marrow,Bone marrow,2,Ground,MMR,6,0,27,27,27,27,27,27
Bone marrow,Bone marrow,2,Ground,FA,6,0,39,39,39,39,39,39
Bone marrow,Bone marrow,2,Ground,HR,6,0,133,133.25,134,133.666666666667,134,134
Bone marrow,Bone marrow,2,Ground,AEJ,6,0,9,9,9,9,9,9
Bone marrow,Bone marrow,2,Ground,NHEJ,6,0,17,17,17,17,17,17
Cecum,Cecum,3,Flight,BER,5,0,51,52,52,52,52,53
Cecum,Cecum,3,Flight,NER,5,0,53,53,53,53,53,53
Cecum,Cecum,3,Flight,MMR,5,0,26,26,26,26.4,27,27
Cecum,Cecum,3,Flight,FA,5,0,36,38,38,38,39,39
Cecum,Cecum,3,Flight,HR,5,0,126,132,133,131.8,133,135
Cecum,Cecum,3,Flight,AEJ,5,0,9,9,9,9,9,9
Cecum,Cecum,3,Flight,NHEJ,5,0,17,17,17,17,17,17
Cecum,Cecum,3,Ground,BER,5,0,52,52,52,52.2,52,53
Cecum,Cecum,3,Ground,NER,5,0,53,53,53,53,53,53
Cecum,Cecum,3,Ground,MMR,5,0,26,26,26,26.4,27,27
Cecum,Cecum,3,Ground,FA,5,0,38,39,39,38.8,39,39
Cecum,Cecum,3,Ground,HR,5,0,129,131,132,131.6,132,134
Cecum,Cecum,3,Ground,AEJ,5,0,9,9,9,9,9,9
Cecum,Cecum,3,Ground,NHEJ,5,0,17,17,17,17,17,17
Cerebellum,Cerebellum,4,Flight,BER,9,1,51,51,52,51.5555555555556,52,52
Cerebellum,Cerebellum,4,Flight,NER,9,1,52,52,53,52.6666666666667,53,53
Cerebellum,Cerebellum,4,Flight,MMR,9,1,27,27,27,27,27,27
Cerebellum,Cerebellum,4,Flight,FA,9,1,38,38,39,38.5555555555556,39,39
Cerebellum,Cerebellum,4,Flight,HR,9,1,131,131,132,131.777777777778,132,133
Cerebellum,Cerebellum,4,Flight,AEJ,9,1,8,9,9,8.88888888888889,9,9
