audit_row_id,audit_status,audit_flags,accession,analysis_unit_id,tissue,analysis_input_relative_path,analysis_sample_column,normalized_sample_name,isa_sample_name,source_name,accession_scoped_mouse_id,sample_match_method,sample_match_status,sample_is_technical_replicate,analysis_sample_status,isa_spaceflight_raw,isa_status,status_matches_analysis,sex,sex_raw,age_source_field,age_value_raw,age_unit_raw,age_raw,age_label,age_order_weeks,age_is_range,age_value_status,organism_raw,source_material_type,mission_cluster,mission_source,api_mission_names,mission_project_token,source_space_mission_raw,launch_mission_raw,mission_conflict_detected,mission_conflict_issue_type,mission_conflict_source_value,mission_conflict_canonical_value,mission_conflict_resolution,isa_source_table,metadata_zip_filename,metadata_zip_sha256,metadata_zip_size_bytes,metadata_downloaded_at_utc,osdr_study_url,dataset_api_url,files_api_url,metadata_download_url,api_project_identifiers,api_mission_start_dates,api_mission_end_dates,tissue_collection_after_landing_days,tissue_collection_timing_category,tissue_collection_scope
OSD-100::OSD-100::Mmus_C57-6J_EYE_GC_Rep5_M37,PASS,NONE,OSD-100,OSD-100,Eye,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_EYE_GC_Rep5_M37,Mmus_C57-6J_EYE_GC_Rep5_M37,Mmus_C57-6J_EYE_GC_Rep5_M37,RR1_GC_M37,OSD-100::RR1_GC_M37,exact ISA Sample Name,EXACT,FALSE,Ground,Ground Control,Ground,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,left eye,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,75613,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-100/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-100/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-100/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-100/download?source=datamanager&file=OSD-100_metadata_OSD-100-ISA.zip,,9/21/14,10/25/14,,not_stated,n/a
OSD-100::OSD-100::Mmus_C57-6J_EYE_GC_Rep6_M38,PASS,NONE,OSD-100,OSD-100,Eye,02_processed_data/osdr_processed/OSD-100/GLDS-100_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_EYE_GC_Rep6_M38,Mmus_C57-6J_EYE_GC_Rep6_M38,Mmus_C57-6J_EYE_GC_Rep6_M38,RR1_GC_M38,OSD-100::RR1_GC_M38,exact ISA Sample Name,EXACT,FALSE,Ground,Ground Control,Ground,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,left eye,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-100.txt,OSD-100_metadata_OSD-100-ISA.zip,cc7238e0f854795a21b22023dfdce3929f093f35c03b27607a45730270f86635,75613,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-100/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-100/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-100/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-100/download?source=datamanager&file=OSD-100_metadata_OSD-100-ISA.zip,,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_FLT_Rep1_M23,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_FLT_Rep1_M23,Mmus_C57-6J_GST_FLT_Rep1_M23,Mmus_C57-6J_GST_FLT_Rep1_M23,RR1_FLT_M23,OSD-101::RR1_FLT_M23,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_FLT_Rep2_M24,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_FLT_Rep2_M24,Mmus_C57-6J_GST_FLT_Rep2_M24,Mmus_C57-6J_GST_FLT_Rep2_M24,RR1_FLT_M24,OSD-101::RR1_FLT_M24,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_FLT_Rep3_M25,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_FLT_Rep3_M25,Mmus_C57-6J_GST_FLT_Rep3_M25,Mmus_C57-6J_GST_FLT_Rep3_M25,RR1_FLT_M25,OSD-101::RR1_FLT_M25,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_FLT_Rep4_M26,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_FLT_Rep4_M26,Mmus_C57-6J_GST_FLT_Rep4_M26,Mmus_C57-6J_GST_FLT_Rep4_M26,RR1_FLT_M26,OSD-101::RR1_FLT_M26,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_FLT_Rep5_M27,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_FLT_Rep5_M27,Mmus_C57-6J_GST_FLT_Rep5_M27,Mmus_C57-6J_GST_FLT_Rep5_M27,RR1_FLT_M27,OSD-101::RR1_FLT_M27,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_FLT_Rep6_M28,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_FLT_Rep6_M28,Mmus_C57-6J_GST_FLT_Rep6_M28,Mmus_C57-6J_GST_FLT_Rep6_M28,RR1_FLT_M28,OSD-101::RR1_FLT_M28,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_GC_Rep1_M33,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_GC_Rep1_M33,Mmus_C57-6J_GST_GC_Rep1_M33,Mmus_C57-6J_GST_GC_Rep1_M33,RR1_GC_M33,OSD-101::RR1_GC_M33,exact ISA Sample Name,EXACT,FALSE,Ground,Ground Control,Ground,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_GC_Rep2_M34,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_GC_Rep2_M34,Mmus_C57-6J_GST_GC_Rep2_M34,Mmus_C57-6J_GST_GC_Rep2_M34,RR1_GC_M34,OSD-101::RR1_GC_M34,exact ISA Sample Name,EXACT,FALSE,Ground,Ground Control,Ground,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_GC_Rep3_M35,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_GC_Rep3_M35,Mmus_C57-6J_GST_GC_Rep3_M35,Mmus_C57-6J_GST_GC_Rep3_M35,RR1_GC_M35,OSD-101::RR1_GC_M35,exact ISA Sample Name,EXACT,FALSE,Ground,Ground Control,Ground,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_GC_Rep4_M36,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_GC_Rep4_M36,Mmus_C57-6J_GST_GC_Rep4_M36,Mmus_C57-6J_GST_GC_Rep4_M36,RR1_GC_M36,OSD-101::RR1_GC_M36,exact ISA Sample Name,EXACT,FALSE,Ground,Ground Control,Ground,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_GC_Rep5_M37,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_GC_Rep5_M37,Mmus_C57-6J_GST_GC_Rep5_M37,Mmus_C57-6J_GST_GC_Rep5_M37,RR1_GC_M37,OSD-101::RR1_GC_M37,exact ISA Sample Name,EXACT,FALSE,Ground,Ground Control,Ground,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-101::OSD-101::Mmus_C57-6J_GST_GC_Rep6_M38,PASS,NONE,OSD-101,OSD-101,Gastrocnemius,02_processed_data/osdr_processed/OSD-101/GLDS-101_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_GST_GC_Rep6_M38,Mmus_C57-6J_GST_GC_Rep6_M38,Mmus_C57-6J_GST_GC_Rep6_M38,RR1_GC_M38,OSD-101::RR1_GC_M38,exact ISA Sample Name,EXACT,FALSE,Ground,Ground Control,Ground,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Left gastrocnemius,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,,FALSE,,,,,s_OSD-101.txt,OSD-101_metadata_OSD-101-ISA.zip,fbdd6b33832ace67ba2c806d9717219ad30979846b16b6599843646924559676,102344,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-101/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-101/download?source=datamanager&file=OSD-101_metadata_OSD-101-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-104::OSD-104::Mmus_C57-6J_SLS_FLT_Rep1_M23,PASS,NONE,OSD-104,OSD-104,Soleus,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_SLS_FLT_Rep1_M23,Mmus_C57-6J_SLS_FLT_Rep1_M23,Mmus_C57-6J_SLS_FLT_Rep1_M23,RR1_FLT_M23,OSD-104::RR1_FLT_M23,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Soleus-both sides,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,SpaceX-4,FALSE,,,,,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,81627,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-104/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-104/download?source=datamanager&file=OSD-104_metadata_OSD-104-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-104::OSD-104::Mmus_C57-6J_SLS_FLT_Rep2_M24,PASS,NONE,OSD-104,OSD-104,Soleus,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_SLS_FLT_Rep2_M24,Mmus_C57-6J_SLS_FLT_Rep2_M24,Mmus_C57-6J_SLS_FLT_Rep2_M24,RR1_FLT_M24,OSD-104::RR1_FLT_M24,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Soleus-both sides,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,SpaceX-4,FALSE,,,,,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,81627,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-104/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-104/download?source=datamanager&file=OSD-104_metadata_OSD-104-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-104::OSD-104::Mmus_C57-6J_SLS_FLT_Rep3_M25,PASS,NONE,OSD-104,OSD-104,Soleus,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_SLS_FLT_Rep3_M25,Mmus_C57-6J_SLS_FLT_Rep3_M25,Mmus_C57-6J_SLS_FLT_Rep3_M25,RR1_FLT_M25,OSD-104::RR1_FLT_M25,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Soleus-both sides,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,SpaceX-4,FALSE,,,,,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,81627,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-104/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-104/download?source=datamanager&file=OSD-104_metadata_OSD-104-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-104::OSD-104::Mmus_C57-6J_SLS_FLT_Rep4_M26,PASS,NONE,OSD-104,OSD-104,Soleus,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_SLS_FLT_Rep4_M26,Mmus_C57-6J_SLS_FLT_Rep4_M26,Mmus_C57-6J_SLS_FLT_Rep4_M26,RR1_FLT_M26,OSD-104::RR1_FLT_M26,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Soleus-both sides,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,SpaceX-4,FALSE,,,,,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,81627,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-104/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-104/download?source=datamanager&file=OSD-104_metadata_OSD-104-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
OSD-104::OSD-104::Mmus_C57-6J_SLS_FLT_Rep5_M27,PASS,NONE,OSD-104,OSD-104,Soleus,02_processed_data/osdr_processed/OSD-104/GLDS-104_rna_seq_differential_expression_GLbulkRNAseq.csv,Mmus_C57-6J_SLS_FLT_Rep5_M27,Mmus_C57-6J_SLS_FLT_Rep5_M27,Mmus_C57-6J_SLS_FLT_Rep5_M27,RR1_FLT_M27,OSD-104::RR1_FLT_M27,exact ISA Sample Name,EXACT,FALSE,Flight,Space Flight,Flight,TRUE,Female,Female,Characteristics[Age at Launch],16,week,16 {week},16 wk,16,FALSE,EXACT_VALUE_REPORTED_BY_SOURCE,Mus musculus,Soleus-both sides,SpaceX-4,OSDR dataset API: single mission,SpaceX-4,,,SpaceX-4,FALSE,,,,,s_OSD-104.txt,OSD-104_metadata_OSD-104-ISA.zip,389e61573a07619c5ea76cf0f13fd4add2503717840a66f850515282ea6bceb6,81627,2026-08-30 12:55:53 UTC,https://osdr.nasa.gov/bio/repo/data/studies/OSD-104/,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/?format=json,https://visualization.osdr.nasa.gov/biodata/api/v2/dataset/OSD-104/files/,https://osdr.nasa.gov/geode-py/ws/studies/OSD-104/download?source=datamanager&file=OSD-104_metadata_OSD-104-ISA.zip,RR-1,9/21/14,10/25/14,,not_stated,n/a
